;T2M_RANGE;TS;T2MDEW;T2MWET;T2M_MAX;T2M_MIN;T2M;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
20200101;10.07;18.7;14.73;17.57;25.8;15.73;20.4;10.31;71.25;0.0;101.81;1.16;1.71;0.53;1.18;1.55;2.48;0.67;1.8
20200102;11.09;18.83;16.14;18.19;25.35;14.26;20.23;11.29;78.19;0.01;101.88;1.71;2.59;0.62;1.98;2.39;4.09;0.83;3.26
20200103;5.44;17.22;16.54;17.19;20.62;15.19;17.83;11.6;92.19;50.15;101.68;2.03;4.01;0.52;3.48;2.82;5.1;0.7;4.41
20200104;8.37;18.16;15.65;16.96;22.81;14.44;18.26;10.99;85.56;6.25;101.47;1.78;2.74;1.12;1.62;2.43;3.63;1.41;2.22
20200105;7.93;17.54;15.4;16.54;21.98;14.06;17.68;10.8;87.0;12.69;101.43;2.34;3.97;1.13;2.84;3.58;5.95;1.34;4.61
20200106;9.81;14.78;12.1;13.54;20.1;10.3;14.98;8.67;83.81;0.04;101.76;3.12;4.48;1.73;2.75;4.53;6.48;2.44;4.04
20200107;12.11;14.81;11.27;12.94;20.99;8.87;14.6;8.24;81.75;0.02;101.58;2.59;3.5;1.12;2.38;4.02;6.78;1.15;5.64
20200108;10.69;15.26;12.09;13.8;21.14;10.45;15.49;8.73;81.31;0.0;101.51;2.47;2.92;2.08;0.85;3.48;4.55;2.57;1.98
20200109;9.26;16.0;13.34;14.73;20.86;11.6;16.12;9.46;84.38;0.27;101.48;2.02;2.72;0.24;2.48;2.91;4.2;0.4;3.8
20200110;8.7;17.05;14.36;15.61;21.83;13.13;16.86;10.07;86.06;0.95;101.55;2.84;3.3;2.28;1.02;4.47;5.95;2.99;2.96
20200111;9.69;15.19;12.94;13.91;20.06;10.37;14.88;9.22;88.44;0.96;101.61;3.45;4.47;2.73;1.74;5.41;6.48;4.22;2.26
20200112;10.78;15.23;12.7;13.86;21.18;10.4;15.01;9.09;86.56;0.0;101.39;3.45;4.42;2.7;1.72;5.42;6.73;3.61;3.12
20200113;11.38;14.99;12.05;13.58;20.98;9.6;15.11;8.73;82.62;0.0;101.22;2.48;3.22;1.64;1.58;3.68;5.25;1.76;3.5
20200114;11.62;15.52;12.67;14.36;21.56;9.94;16.04;9.09;81.06;0.0;101.34;1.8;3.0;0.95;2.05;2.58;4.92;1.05;3.87
20200115;10.6;16.38;14.26;15.72;22.63;12.02;17.18;10.07;83.56;0.0;101.43;2.08;2.81;1.29;1.52;2.88;4.46;1.39;3.08
20200116;12.42;17.6;14.6;16.58;24.62;12.19;18.57;10.25;78.81;0.0;101.44;2.01;3.23;1.04;2.19;2.98;5.65;1.43;4.22
20200117;12.7;18.73;15.4;17.6;26.21;13.5;19.8;10.8;77.25;0.0;101.48;1.8;3.17;0.53;2.64;2.64;5.41;0.58;4.84
20200118;11.6;18.97;14.86;17.74;26.73;15.12;20.62;10.44;71.5;0.0;101.43;1.3;1.95;0.33;1.62;1.77;2.86;0.3;2.55
20200119;9.98;18.93;15.82;17.78;25.79;15.8;19.75;11.11;79.19;0.0;101.39;1.95;5.41;0.33;5.08;2.91;8.0;0.41;7.59
20200120;8.29;16.88;14.08;15.4;21.53;13.24;16.72;9.89;84.94;0.0;101.6;2.95;3.86;2.38;1.48;4.45;6.05;3.38;2.67
20200121;10.84;14.94;10.64;12.92;20.62;9.77;15.2;7.87;75.56;0.0;101.77;2.72;3.51;2.0;1.5;3.82;5.26;2.43;2.83
20200122;12.1;14.75;10.33;12.73;21.28;9.18;15.14;7.69;74.75;0.0;101.76;2.73;3.29;2.16;1.13;3.93;5.58;2.62;2.95
20200123;11.13;16.25;12.13;14.35;22.33;11.19;16.57;8.79;75.88;0.0;101.54;2.12;3.11;0.34;2.77;3.07;4.49;0.35;4.14
20200124;9.91;15.67;10.96;13.42;21.58;11.67;15.87;8.06;74.88;0.0;101.57;2.34;3.26;1.74;1.51;3.39;5.35;1.99;3.35
